d,n_train,seed,noise_frac,sigma,tau_true,A_hat,tau_hat,G_dagger,G_star,fits,rmse,G_bullet,A_anchor,tau_target,A_ratio,tau_ratio,delta_proxy
20,300,10,0.1,0.07012917393167395,0.004918101036338977,0.15042726121103084,0.18696341434655364,1.6616054309560992,4,4,0.431154835628962,2.680057661735535,0.25402328895752446,0.004273245254044793,0.5921790156657013,43.75209079553426,0.0039861220402230505
20,300,11,0.1,0.0638555515819852,0.004077531467839573,0.11387675277726748,0.21179478038353133,1.5888317151834668,4,4,0.4392693133712267,2.680057661735535,0.25402328895752446,0.004273245254044793,0.4482925689396493,49.56298264955874,0.005849021988160854
20,300,12,0.1,0.06019106387070507,0.0036229641698872967,0.03901131032544627,0.19544213664170318,1.4231853268568069,4,4,0.4258253564354195,2.680057661735535,0.25402328895752446,0.004273245254044793,0.15357375493224715,45.73623207250031,0.01463971965581895
20,300,13,0.1,0.05958644524021396,0.003550544456365017,0.10888936694108761,0.12194982727306955,1.6809467184177471,3,4,0.4713587574971442,2.680057661735535,0.25402328895752446,0.004273245254044793,0.4286589918111608,28.537989285225155,0.003605057504575504
20,300,14,0.1,0.06829924775849809,0.0046647872443767065,0.13253220590595685,0.1088689296075167,1.7398464673336684,4,4,0.32317513307322276,2.680057661735535,0.25402328895752446,0.004273245254044793,0.5217325011806997,25.476873695575517,0.002662135171008587
20,300,15,0.1,0.06674488455862611,0.004454879614744326,0.131606209900208,0.2064045506443894,1.6192140459783113,4,4,0.4695820975912592,2.680057661735535,0.25402328895752446,0.004273245254044793,0.5180871818497478,48.30159243704055,0.004978100462744611
20,300,16,0.1,0.06649888112114917,0.0044221011903647295,0.19664925957995816,0.14531604091150255,1.7604259947725316,4,4,0.4038999839185,2.680057661735535,0.25402328895752446,0.004273245254044793,0.7741387035298174,34.00601469666532,0.0023963681381680623
20,300,17,0.1,0.05999781927478041,0.0035997383177292113,0.13733045499432153,0.1320905323725688,1.7096113158159227,4,4,0.3596086321831495,2.680057661735535,0.25402328895752446,0.004273245254044793,0.5406215137120153,30.911058111523076,0.00310902190199263
20,300,18,0.1,0.06397413205002128,0.00409268957155356,0.15121239669042796,0.14997957221457728,1.7037865718737126,4,4,0.4192635963738643,2.680057661735535,0.25402328895752446,0.004273245254044793,0.595269816838378,35.097347167849954,0.0032037114959665176
20,300,19,0.1,0.07112379057913094,0.005058593586344076,0.19413329417282146,0.1481826501102767,1.7540976544153104,4,4,0.3720689613180423,2.680057661735535,0.25402328895752446,0.004273245254044793,0.7642342360399984,34.67684190838708,0.0024750560938220246
20,600,0,0.1,0.061421719406678656,0.0037726276148727653,0.29811552249568507,0.005730131393438302,2.85206254944213,8,7,0.06441985224252726,2.905222200579123,0.25402328895752446,0.004134955449367574,1.173575555686681,1.3857782661998703,6.420491530742143e-07
20,600,1,0.1,0.05923989846560003,0.0035093655702146008,0.1940019091153377,0.004436017152017965,2.797566592125536,8,7,0.06335957516813975,2.905222200579123,0.25402328895752446,0.004134955449367574,0.7637170194571294,1.0728089350264796,2.81409282878477e-06
20,600,2,0.1,0.06263590375243552,0.003923256438884366,0.2769078706057861,0.005454135834302994,2.844330598403604,8,7,0.06711285957662992,2.905222200579123,0.25402328895752446,0.004134955449367574,1.0900885180338256,1.3190313417130488,8.502390065168825e-07
20,600,3,0.1,0.061684256046841024,0.0038049474440522433,0.14193976235741826,0.005063193321981665,2.662693649183432,8,7,0.05891572133823332,2.905222200579123,0.25402328895752446,0.004134955449367574,0.5587667293810694,1.2244855800698076,1.7049757363029054e-05
20,600,4,0.1,0.0695098743246971,0.004831622628635185,0.26168279322367693,0.006279358942990061,2.7826099428228748,8,7,0.06918473330148472,2.905222200579123,0.25402328895752446,0.004134955449367574,1.0301527639358816,1.5186037721278147,3.7193552084505534e-06
20,600,5,0.1,0.06552296200334515,0.004293258549691812,0.26054863517451304,0.0059932594646135455,2.795715642210056,8,7,0.07170117229768128,2.905222200579123,0.25402328895752446,0.004134955449367574,1.025687984136288,1.4494133100104363,2.918414512258693e-06
20,600,6,0.1,0.06412809827407628,0.004112412988249586,0.276291913400605,0.005238869085486175,2.856378734227062,8,7,0.06986373191514088,2.905222200579123,0.25402328895752446,0.004134955449367574,1.087663711994549,1.266971107581689,5.392397401186291e-07
20,600,7,0.1,0.07154702804240357,0.005118977221700482,0.32616411948754565,0.005495706349355029,2.8941015610375493,8,7,0.06684409498306935,2.905222200579123,0.25402328895752446,0.004134955449367574,1.2839929788566904,1.3290847789413491,2.6741902653436636e-08
20,600,8,0.1,0.060871494125157535,0.0037053387970290884,0.27146044604880953,0.005342431623129766,2.8445913006404817,8,7,0.06576075364318225,2.905222200579123,0.25402328895752446,0.004134955449367574,1.0686439308885602,1.2920167311468547,8.427101975270112e-07
20,600,9,0.1,0.0670420290881919,0.004494633664261969,0.32777724252571927,0.007915909411170716,2.780630149020452,8,7,0.08226711826084301,2.905222200579123,0.25402328895752446,0.004134955449367574,1.2903432747086716,1.9143880769940158,3.850032784328541e-06
20,600,10,0.1,0.06183456620161633,0.0038235135773420723,0.31866084182780463,0.0056613092507173226,2.877120940845425,8,7,0.07162282525528045,2.905222200579123,0.25402328895752446,0.004134955449367574,1.2544552239109394,1.369134279689325,1.7417244733486988e-07
20,600,11,0.1,0.05849870677025585,0.0034220986937923774,0.26559309681624144,0.0063532968225393964,2.7835767467051458,8,7,0.0704356817032984,2.905222200579123,0.25402328895752446,0.004134955449367574,1.0455462485593263,1.53648495137018,3.656477907182463e-06
20,600,12,0.1,0.05825223528269996,0.003393322915431034,0.24250516979351922,0.005795766164886445,2.7838562939805835,8,7,0.06795274869704421,2.905222200579123,0.25402328895752446,0.004134955449367574,0.9546572315818995,1.4016514170117325,3.638411381960433e-06
20,600,13,0.1,0.06675574976933313,0.00445633012726582,0.2691676200921619,0.005971481369057393,2.8069786429676595,8,7,0.07063926354300172,2.905222200579123,0.25402328895752446,0.004134955449367574,1.0596178846309234,1.4441464828770305,2.316339062577422e-06
20,600,14,0.1,0.06958964726928761,0.004842719007063868,0.2683030717330482,0.00588613761952086,2.810467044894999,8,7,0.06500451424878938,2.905222200579123,0.25402328895752446,0.004134955449367574,1.0562144629893027,1.4235069014881703,2.1455046881318357e-06
20,600,15,0.1,0.07002605487133373,0.004903648360843043,0.34178020910673385,0.007497401896974682,2.8104964438966897,8,7,0.07751275178810678,2.905222200579123,0.25402328895752446,0.004134955449367574,1.3454680100763647,1.8131759794706814,2.1440958444625055e-06
20,600,16,0.1,0.06491450090524968,0.004213892427777662,0.2851904057959149,0.006041315978695852,2.821423562503361,8,7,0.06855479097515427,2.905222200579123,0.25402328895752446,0.004134955449367574,1.1226939347423455,1.4610353249682169,1.6556028683817727e-06
20,600,17,0.1,0.06023646002537012,0.0036284311163880126,0.2598153706102745,0.004793020521622344,2.8651062992596024,8,7,0.058901644987501355,2.905222200579123,0.25402328895752446,0.004134955449367574,1.0228013804423992,1.1591468349085645,3.60001780906399e-07
20,600,18,0.1,0.06671703117031699,0.004451162248181049,0.2994735678281433,0.007136528702864134,2.7847548109681246,8,7,0.0724462534027057,2.905222200579123,0.25402328895752446,0.004134955449367574,1.178921700672172,1.7259021990081271,3.5806882107041263e-06
20,600,19,0.1,0.06447866244336618,0.004157497910485561,0.28195588067937977,0.0056303057298708135,2.839996657136266,8,7,0.05833736177531176,2.905222200579123,0.25402328895752446,0.004134955449367574,1.109960751380264,1.361636370406832,9.806781450135945e-07
20,1200,0,0.1,0.06458285130997347,0.004170944683326142,0.2889512505189326,0.004086475455860507,3.1872269737639707,15,7,0.04328929511878755,3.135556127196141,0.25402328895752446,0.004161822618264689,1.137499052566194,0.9818956334002532,2.5181657005901494e-07
20,1200,1,0.1,0.05962892148399062,0.0035556082773439183,0.17593790586650573,0.003710569669020789,3.0487997069515957,15,7,0.03877586031711385,3.135556127196141,0.25402328895752446,0.004161822618264689,0.6926054165684176,0.891573238305852,8.239942057468113e-07
20,1200,2,0.1,0.06044471965237583,0.0036535641338543085,0.2295511135488971,0.003940866990286085,3.119311617570582,15,7,0.037467628860666624,3.135556127196141,0.25402328895752446,0.004161822618264689,0.9036616858672379,0.9469089271107057,2.6729165580701136e-08
20,1200,3,0.1,0.060201638877289715,0.0036242373235116005,0.1539043342965312,0.0035504794682688413,3.018565457576892,15,7,0.03579006653233409,3.135556127196141,0.25402328895752446,0.004161822618264689,0.6058670247445923,0.8531068702176564,1.5510200439439073e-06
