d,n_per_pair,seed,threshold,n_true,n_discovered,tp,fp,fn,precision,recall,f1,disc_rmse,oracle_rmse,rmse_ratio
20,120,3,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.03049098224151625,0.006785222387363377,4.493733661302225
20,120,3,0.01,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.03049098224151625,0.006785222387363377,4.493733661302225
20,120,3,0.02,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.03049098224151625,0.006785222387363377,4.493733661302225
20,120,3,0.05,10,10,10,0,0,1.0,1.0,1.0,0.006785222387381784,0.006785222387363377,1.0000000000027127
20,120,4,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.03459398704778754,0.008230928134609444,4.202926630148378
20,120,4,0.01,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.03459398704778754,0.008230928134609444,4.202926630148378
20,120,4,0.02,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.03459398704778754,0.008230928134609444,4.202926630148378
20,120,4,0.05,10,10,10,0,0,1.0,1.0,1.0,0.008230928134624681,0.008230928134609444,1.0000000000018512
20,240,0,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.006769271975525923,0.0056089028361773355,1.2068798788711805
20,240,0,0.01,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.006769271975525923,0.0056089028361773355,1.2068798788711805
20,240,0,0.02,10,10,10,0,0,1.0,1.0,1.0,0.005608902836173439,0.0056089028361773355,0.9999999999993053
20,240,0,0.05,10,10,10,0,0,1.0,1.0,1.0,0.005608902836173439,0.0056089028361773355,0.9999999999993053
20,240,1,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.006576561702843622,0.005298350248006229,1.2412470665408322
20,240,1,0.01,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.006576561702843622,0.005298350248006229,1.2412470665408322
20,240,1,0.02,10,10,10,0,0,1.0,1.0,1.0,0.005298350248010521,0.005298350248006229,1.0000000000008102
20,240,1,0.05,10,10,10,0,0,1.0,1.0,1.0,0.005298350248010521,0.005298350248006229,1.0000000000008102
20,240,2,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.00624201731317292,0.005018185625053425,1.2438793180566063
20,240,2,0.01,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.00624201731317292,0.005018185625053425,1.2438793180566063
20,240,2,0.02,10,10,10,0,0,1.0,1.0,1.0,0.005018185625046571,0.005018185625053425,0.999999999998634
20,240,2,0.05,10,10,10,0,0,1.0,1.0,1.0,0.005018185625046571,0.005018185625053425,0.999999999998634
20,240,3,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.005994302187205671,0.004983151415079147,1.2029139168973986
20,240,3,0.01,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.005994302187205671,0.004983151415079147,1.2029139168973986
20,240,3,0.02,10,10,10,0,0,1.0,1.0,1.0,0.004983151415084835,0.004983151415079147,1.0000000000011415
20,240,3,0.05,10,10,10,0,0,1.0,1.0,1.0,0.004983151415084835,0.004983151415079147,1.0000000000011415
20,240,4,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.006813992933323431,0.005093961829710597,1.337660775858337
20,240,4,0.01,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.006813992933323431,0.005093961829710597,1.337660775858337
20,240,4,0.02,10,10,10,0,0,1.0,1.0,1.0,0.00509396182970752,0.005093961829710597,0.9999999999993959
